Kabupaten/Kota,Rumah Tangga dan Rata-Rata Banyaknya Anggota Rumah Tangga Menurut Kabupaten/Kota di Provinsi Sumatera Barat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rumah Tangga (Ruta),,,,,,,,,,,,,,,,,,,,,Anggota Rumah Tangga (ART),,,,,,,,,,,,,,,,,,,,
,2000,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2000,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Kab. Kepulauan Mentawai,9042,16144,18496,16192,16192,15618,16879,18237,18651,18651,19515,19936,20343,20746,21153,21554,21950,20843,21085,21327,21568,6.05,4.17,3.7,4.24,4.25,3.92,3.81,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.2,4.19,4.19,4.19
Kab. Pesisir Selatan,75959,98320,107450,99200,100480,96087,95747,99350,100268,100268,102066,102942,103758,104596,105394,106185,106895,115813,117407,118989,120567,4.91,4.25,3.98,432,4.51,4.45,4.38,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.36,4.34,4.34,4.34
Kab. Solok,91527,109248,84977,82752,83472,79737,77955,82769,83455,83455,84771,85413,85984,86581,87167,87737,88250,92295,93153,93994,94823,4.62,4.19,4.02,3.89,4.26,4.21,4.31,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.24,4.23,4.23,4.23
Kab. Sijunjung,59197,80576,46176,45824,46704,45277,46649,47948,48891,48891,50778,51732,52769,53667,54569,55448,56384,55697,56413,57148,57882,4.46,4.27,4.01,4.15,4.38,4.26,4.15,4.23,4.23,4.23,4.23,4.23,4.22,4.22,4.22,4.22,4.21,4.22,4.21,4.21,4.2
Kab. Tanah Datar,77810,88160,98784,84864,84864,80172,79615,86146,86429,86429,86925,87181,87141,87362,87583,87792,87775,93414,94077,94672,95249,4.4,3.85,3.47,3.82,3.92,3.92,3.94,3.94,3.94,3.94,3.94,3.94,3.96,3.96,3.96,3.96,3.97,3.98,3.97,3.97,3.98
Kab. Padang Pariaman,94220,82688,87600,86304,86720,82355,81954,89474,90139,90139,91386,91988,92268,92845,93388,93903,94196,97299,98015,98663,99290,4.75,4.54,4.34,4.4,4.62,4.36,4.44,4.39,4.39,4.39,4.39,4.39,4.4,4.4,4.4,4.4,4.41,4.43,4.42,4.42,4.42
Kab. Agam,92270,104800,111216,101296,101248,95988,101557,111181,112206,112206,114192,115172,115885,116819,117686,118566,119198,127878,129510,131088,132656,4.42,4.09,3.9,4,4.06,4.12,3.96,4.11,4.11,4.11,4.11,4.11,4.12,4.12,4.12,4.12,4.12,4.14,4.12,4.13,4.13
Kab. Lima Puluh Kota,71314,86208,93552,83104,83232,79256,77764,88205,89216,89216,91165,92109,92616,93515,94395,95258,95764,95610,96307,96918,97507,4.17,3.76,3.54,3.97,3.92,3.9,4.01,3.97,3.97,3.97,3.97,3.97,3.98,3.98,3.98,3.98,4,4.01,4,4.01,4.01
Kab. Pasaman,99497,126560,61120,56976,57680,55458,58918,59676,60427,60427,61912,62628,63397,64082,64769,65416,66111,70269,71287,72317,73347,4.53,4.39,4.01,4.14,4.13,4.33,4.15,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.25,4.27,4.25,4.25,4.25
Kab. Solok Selatan,-,-,30160,32336,32640,31276,32597,34959,35704,35704,37167,37881,38408,39113,39805,40480,40976,43297,44199,45070,45948,-,-,4.09,4.03,4.32,4.09,3.83,4.14,4.14,4.14,4.14,4.14,4.16,4.16,4.16,4.16,4.18,4.2,4.18,4.19,4.19
Kab. Dharmasraya,-,-,40272,40736,42048,40757,43419,46603,48100,48100,51112,52625,53983,55483,56974,58449,59778,54927,55770,56587,57401,-,-,4.07,4.2,4.18,4.22,4.01,4.12,4.12,4.12,4.12,4.12,4.13,4.13,4.13,4.13,4.14,4.16,4.15,4.15,4.15
Kab. Pasaman Barat,-,-,78520,75744,76960,73697,72656,86112,88188,88188,92322,94370,96279,98268,100265,102216,104008,100770,102216,103635,105051,-,-,4.05,4.12,4.27,4.2,4.35,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.27,4.28,4.27,4.27,4.27
Kota Padang,130292,176943,189678,201344,205856,198208,197785,195017,198196,198196,204340,207346,210881,213815,216629,219457,222354,212277,213638,214971,216267,4.84,4.43,4.22,4.35,4.21,4.33,4.14,4.29,4.29,4.29,4.29,4.29,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28
Kota Solok,8594,12544,13888,13440,13440,13060,13318,13994,14293,14293,14912,15211,15530,15813,16117,16393,16701,17196,17519,17844,18171,4.97,4.44,4.06,4.18,4.33,4.26,4.2,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.25,4.27,4.25,4.25,4.25
Kota Sawahlunto,11876,13264,14272,13027,13120,12611,12990,14106,14253,14253,14572,14729,14864,15010,15163,15286,15434,16032,16212,16389,16565,4.44,4.06,3.76,3.94,3.97,3.77,3.93,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.06,4.05,4.05,4.05
Kota Padang Panjang,7873,10544,12208,11600,11904,11814,12921,11012,11194,11194,11557,11714,11891,12085,12251,12385,12552,13114,13320,13525,13731,4.9,4.24,3.65,4.12,4.12,3.98,4.09,4.29,4.29,4.29,4.29,4.29,4.28,4.28,4.28,4.28,4.28,4.29,4.28,4.28,4.28
Kota Bukittinggi,18318,24480,26824,24480,24960,24043,25381,27039,27566,27566,28620,29160,29676,30182,30688,31167,31649,29247,29426,29601,29771,4.57,4.1,3.88,4.05,4.16,3.88,3.97,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.14,4.13,4.13,4.13
Kota Payakumbuh,20091,24192,25387,25440,25440,24445,24664,28018,28508,28508,29531,30016,30563,31037,31518,31968,32445,33292,33804,34323,34844,4.52,4.31,4.18,4.09,4.17,4.08,4.05,4.19,4.19,4.19,4.19,4.19,4.18,4.18,4.18,4.18,4.18,4.19,4.18,4.18,4.17
Kota Pariaman,-,15872,16896,15072,14944,14064,14023,17026,17266,17266,17741,17950,18173,18384,18583,18799,18977,20122,20427,20730,21032,-,4.75,4.53,4.84,4.8,4.87,4.7,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.68,4.67,4.67,4.67
Provinsi Sumatera Barat,867880,1070543,1157476,1109731,1121904,1073923,1086792,1156872,1172950,1172950,1204584,1220103,1234409,1249403,1264097,1278459,1291397,1309392,1323785,1337791,1351670,4.61,4.23,3.98,4.15,4.23,4.2,4.15,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.23,4.22,4.22,4.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catatan,"2000-2009 Hasil Pengolahan Data Susenas, 2010-2019 Proyeksi Penduduk 2010-2020, 2020-2021 Hasil Proyeksi Penduduk Interim 2020-2023 (Pertengahan tahun/Juni)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
