Kabupaten/Kota,Rumah_Tangga_(Ruta)_2000,Rumah_Tangga_(Ruta)_2004,Rumah_Tangga_(Ruta)_2005,Rumah_Tangga_(Ruta)_2006,Rumah_Tangga_(Ruta)_2007,Rumah_Tangga_(Ruta)_2008,Rumah_Tangga_(Ruta)_2009,Rumah_Tangga_(Ruta)_2010,Rumah_Tangga_(Ruta)_2011,Rumah_Tangga_(Ruta)_2012,Rumah_Tangga_(Ruta)_2013,Rumah_Tangga_(Ruta)_2014,Rumah_Tangga_(Ruta)_2015,Rumah_Tangga_(Ruta)_2016,Rumah_Tangga_(Ruta)_2017,Rumah_Tangga_(Ruta)_2018,Rumah_Tangga_(Ruta)_2019,Rumah_Tangga_(Ruta)_2020,Rumah_Tangga_(Ruta)_2021,Rumah_Tangga_(Ruta)_2022,Rumah_Tangga_(Ruta)_2023,Anggota_Rumah_Tangga_(ART)_2000,Anggota_Rumah_Tangga_(ART)_2004,Anggota_Rumah_Tangga_(ART)_2005,Anggota_Rumah_Tangga_(ART)_2006,Anggota_Rumah_Tangga_(ART)_2007,Anggota_Rumah_Tangga_(ART)_2008,Anggota_Rumah_Tangga_(ART)_2009,Anggota_Rumah_Tangga_(ART)_2010,Anggota_Rumah_Tangga_(ART)_2011,Anggota_Rumah_Tangga_(ART)_2012,Anggota_Rumah_Tangga_(ART)_2013,Anggota_Rumah_Tangga_(ART)_2014,Anggota_Rumah_Tangga_(ART)_2015,Anggota_Rumah_Tangga_(ART)_2016,Anggota_Rumah_Tangga_(ART)_2017,Anggota_Rumah_Tangga_(ART)_2018,Anggota_Rumah_Tangga_(ART)_2019,Anggota_Rumah_Tangga_(ART)_2020,Anggota_Rumah_Tangga_(ART)_2021,Anggota_Rumah_Tangga_(ART)_2022,Anggota_Rumah_Tangga_(ART)_2023,Penduduk_Miskin_(%)_2006,Penduduk_Miskin_(%)_2007,Penduduk_Miskin_(%)_2008,Penduduk_Miskin_(%)_2009,Penduduk_Miskin_(%)_2010,Penduduk_Miskin_(%)_2011,Penduduk_Miskin_(%)_2012,Penduduk_Miskin_(%)_2013,Penduduk_Miskin_(%)_2014,Penduduk_Miskin_(%)_2015,Penduduk_Miskin_(%)_2016,Penduduk_Miskin_(%)_2017,Penduduk_Miskin_(%)_2018,Penduduk_Miskin_(%)_2019,Penduduk_Miskin_(%)_2020,Penduduk_Miskin_(%)_2021,Penduduk_Miskin_(%)_2022,Penduduk_Miskin_(%)_2023,Penduduk_Miskin_(%)_2024,Penduduk_Miskin_(%)_2025
Kepulauan Mentawai,9042,16144,18496.0,16192.0,16192.0,15618.0,16879.0,18237.0,18651.0,18651.0,19515.0,19936.0,20343.0,20746.0,21153.0,21554.0,21950.0,20843.0,21085.0,21327.0,21568.0,6.05,4.17,3.7,4.24,4.25,3.92,3.81,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.2,4.19,4.19,4.19,,,,,,,,,,,,,,,,,,,,
Pesisir Selatan,75959,98320,107450.0,99200.0,100480.0,96087.0,95747.0,99350.0,100268.0,100268.0,102066.0,102942.0,103758.0,104596.0,105394.0,106185.0,106895.0,115813.0,117407.0,118989.0,120567.0,4.91,4.25,3.98,432.0,4.51,4.45,4.38,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.36,4.34,4.34,4.34,14.76,13.21,11.36,10.56,10.22,9.75,8.68,8.64,7.82,8.46,7.92,7.79,7.59,7.88,7.61,7.92,7.11,7.34,7.49,6.52
Solok,91527,109248,84977.0,82752.0,83472.0,79737.0,77955.0,82769.0,83455.0,83455.0,84771.0,85413.0,85984.0,86581.0,87167.0,87737.0,88250.0,92295.0,93153.0,93994.0,94823.0,4.62,4.19,4.02,3.89,4.26,4.21,4.31,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.24,4.23,4.23,4.23,17.98,17.59,13.43,12.15,11.74,11.19,10.03,10.26,9.53,10.0,9.32,9.06,8.88,7.98,7.81,8.01,7.12,7.13,7.31,6.52
Sijunjung,59197,80576,46176.0,45824.0,46704.0,45277.0,46649.0,47948.0,48891.0,48891.0,50778.0,51732.0,52769.0,53667.0,54569.0,55448.0,56384.0,55697.0,56413.0,57148.0,57882.0,4.46,4.27,4.01,4.15,4.38,4.26,4.15,4.23,4.23,4.23,4.23,4.23,4.22,4.22,4.22,4.22,4.21,4.22,4.21,4.21,4.2,15.96,15.35,11.51,9.8,10.45,9.94,8.79,8.53,7.74,7.87,7.6,7.35,7.11,7.04,6.78,6.8,6.0,5.88,5.78,5.15
Tanah Datar,77810,88160,98784.0,84864.0,84864.0,80172.0,79615.0,86146.0,86429.0,86429.0,86925.0,87181.0,87141.0,87362.0,87583.0,87792.0,87775.0,93414.0,94077.0,94672.0,95249.0,4.4,3.85,3.47,3.82,3.92,3.92,3.94,3.94,3.94,3.94,3.94,3.94,3.96,3.96,3.96,3.96,3.97,3.98,3.97,3.97,3.98,7.61,7.72,7.52,6.93,6.9,6.57,5.95,5.77,5.29,5.82,5.68,5.56,5.32,4.66,4.4,4.54,4.26,4.16,4.28,3.59
Padang Pariaman,94220,82688,87600.0,86304.0,86720.0,82355.0,81954.0,89474.0,90139.0,90139.0,91386.0,91988.0,92268.0,92845.0,93388.0,93903.0,94196.0,97299.0,98015.0,98663.0,99290.0,4.75,4.54,4.34,4.4,4.62,4.36,4.44,4.39,4.39,4.39,4.39,4.39,4.4,4.4,4.4,4.4,4.41,4.43,4.42,4.42,4.42,17.45,17.12,14.15,12.41,11.86,11.26,10.12,9.17,8.39,8.86,8.91,8.46,8.04,7.1,6.95,7.22,6.25,6.34,6.27,5.86
Agam,92270,104800,111216.0,101296.0,101248.0,95988.0,101557.0,111181.0,112206.0,112206.0,114192.0,115172.0,115885.0,116819.0,117686.0,118566.0,119198.0,127878.0,129510.0,131088.0,132656.0,4.42,4.09,3.9,4.0,4.06,4.12,3.96,4.11,4.11,4.11,4.11,4.11,4.12,4.12,4.12,4.12,4.12,4.14,4.12,4.13,4.13,13.93,12.59,11.2,9.86,9.84,9.39,8.43,7.68,7.02,7.58,7.83,7.59,6.76,6.75,6.75,6.85,6.22,6.6,6.83,5.97
Lima Puluh,71314,86208,93552.0,83104.0,83232.0,79256.0,77764.0,88205.0,89216.0,89216.0,91165.0,92109.0,92616.0,93515.0,94395.0,95258.0,95764.0,95610.0,96307.0,96918.0,97507.0,4.17,3.76,3.54,3.97,3.92,3.9,4.01,3.97,3.97,3.97,3.97,3.97,3.98,3.98,3.98,3.98,4.0,4.01,4.0,4.01,4.01,,,,,,,,,,,,,,,,,,,,
Pasaman,99497,126560,61120.0,56976.0,57680.0,55458.0,58918.0,59676.0,60427.0,60427.0,61912.0,62628.0,63397.0,64082.0,64769.0,65416.0,66111.0,70269.0,71287.0,72317.0,73347.0,4.53,4.39,4.01,4.14,4.13,4.33,4.15,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.25,4.27,4.25,4.25,4.25,18.34,17.92,14.44,12.47,10.96,10.42,9.31,8.37,7.6,8.14,7.65,7.41,7.31,7.21,7.16,7.48,6.85,6.8,6.74,6.02
Solok Selatan,-,-,30160.0,32336.0,32640.0,31276.0,32597.0,34959.0,35704.0,35704.0,37167.0,37881.0,38408.0,39113.0,39805.0,40480.0,40976.0,43297.0,44199.0,45070.0,45948.0,-,-,4.09,4.03,4.32,4.09,3.83,4.14,4.14,4.14,4.14,4.14,4.16,4.16,4.16,4.16,4.18,4.2,4.18,4.19,4.19,17.65,17.43,13.41,11.66,11.11,10.61,9.37,8.12,7.33,7.52,7.35,7.21,7.07,7.33,7.15,7.52,6.51,6.45,6.56,6.0
