Kabupaten/Kota,Umur Harapan Hidup (Tahun)_2015,Umur Harapan Hidup (Tahun)_2016,Umur Harapan Hidup (Tahun)_2017.0,Umur Harapan Hidup (Tahun)_2018.0,Umur Harapan Hidup (Tahun)_2019.0,Umur Harapan Hidup (Tahun)_2020.0,Umur Harapan Hidup (Tahun)_2021.0,Umur Harapan Hidup (Tahun)_2022.0,Umur Harapan Hidup (Tahun)_2023.0,Umur Harapan Hidup (Tahun)_2024.0,Harapan Lama Sekolah (Tahun)_2015,Harapan Lama Sekolah (Tahun)_2016.0,Harapan Lama Sekolah (Tahun)_2017.0,Harapan Lama Sekolah (Tahun)_2018.0,Harapan Lama Sekolah (Tahun)_2019.0,Harapan Lama Sekolah (Tahun)_2020.0,Harapan Lama Sekolah (Tahun)_2021.0,Harapan Lama Sekolah (Tahun)_2022.0,Harapan Lama Sekolah (Tahun)_2023.0,Harapan Lama Sekolah (Tahun)_2024.0,Rata-rata Lama Sekolah (Tahun)_2015,Rata-rata Lama Sekolah (Tahun)_2016.0,Rata-rata Lama Sekolah (Tahun)_2017.0,Rata-rata Lama Sekolah (Tahun)_2018.0,Rata-rata Lama Sekolah (Tahun)_2019.0,Rata-rata Lama Sekolah (Tahun)_2020.0,Rata-rata Lama Sekolah (Tahun)_2021.0,Rata-rata Lama Sekolah (Tahun)_2022.0,Rata-rata Lama Sekolah (Tahun)_2023.0,Rata-rata Lama Sekolah (Tahun)_2024.0,Pengeluaran (Ribu rupiah/orang/tahun)_2015,Pengeluaran (Ribu rupiah/orang/tahun)_2016.0,Pengeluaran (Ribu rupiah/orang/tahun)_2017.0,Pengeluaran (Ribu rupiah/orang/tahun)_2018.0,Pengeluaran (Ribu rupiah/orang/tahun)_2019.0,Pengeluaran (Ribu rupiah/orang/tahun)_2020.0,Pengeluaran (Ribu rupiah/orang/tahun)_2021.0,Pengeluaran (Ribu rupiah/orang/tahun)_2022.0,Pengeluaran (Ribu rupiah/orang/tahun)_2023.0,Pengeluaran (Ribu rupiah/orang/tahun)_2024.0,IPM_2015,IPM_2016.0,IPM_2017.0,IPM_2018.0,IPM_2019.0,IPM_2020.0,IPM_2021.0,IPM_2022.0,IPM_2023.0,IPM_2024.0
Kepulauan Mentawai,64.05,64.36,64.37,64.49,64.68,64.73,64.73,64.93,65.1,65.27,11.48,11.74,12.07,12.39,12.76,12.82,12.89,12.89,12.9,12.91,6.27,6.52,6.69,6.95,7.08,7.09,7.2,7.48,7.76,8.03,5684,5771.0,6010.0,6211.0,6429.0,6281.0,6321.0,6567.0,6891.0,7192.0,57.41,58.27,59.25,60.28,61.26,61.09,61.35,62.19,63.13,63.99
Pesisir Selatan,69.96,70.11,70.23,70.45,70.73,70.86,70.96,71.25,71.52,71.59,13.04,13.05,13.06,13.3,13.31,13.32,13.33,13.35,13.36,13.37,8.11,8.12,8.13,8.14,8.25,8.26,8.27,8.43,8.58,8.81,8412,8605.0,8819.0,9089.0,9444.0,9212.0,9270.0,9686.0,9953.0,10211.0,68.07,68.39,68.74,69.4,70.08,69.9,70.03,70.84,71.44,72.02
Solok,67.35,67.5,67.65,67.95,68.34,68.58,68.79,69.19,69.56,69.8,12.88,13.0,13.01,13.02,13.03,13.04,13.05,13.3,13.55,13.56,7.57,7.58,7.6,7.84,7.85,7.86,7.87,7.89,7.9,7.91,9334,9664.0,9743.0,10035.0,10309.0,10171.0,10215.0,10539.0,10717.0,10988.0,67.12,67.67,67.86,68.6,69.08,69.08,69.24,70.02,70.63,71.02
Sijunjung,65.22,65.33,65.44,65.69,66.02,66.21,66.36,66.7,67.02,67.32,11.94,12.27,12.34,12.35,12.36,12.37,12.38,12.64,12.72,12.76,7.33,7.5,7.72,7.77,8.1,8.11,8.12,8.3,8.57,8.62,9796,9895.0,10093.0,10277.0,10395.0,10361.0,10389.0,10582.0,11018.0,11395.0,65.3,66.01,66.6,66.97,67.66,67.74,67.86,68.69,69.65,70.23
Tanah Datar,68.75,68.93,69.11,69.38,69.73,69.94,70.12,70.49,70.84,70.96,13.35,13.46,13.59,13.88,14.32,14.33,14.34,14.59,14.78,15.05,7.93,8.12,8.14,8.44,8.45,8.61,8.62,8.9,9.02,9.29,10103,10296.0,10331.0,10417.0,10709.0,10588.0,10616.0,10695.0,10905.0,11223.0,69.49,70.11,70.37,71.25,72.14,72.33,72.46,73.29,73.98,74.9
Padang Pariaman,67.64,67.8,67.96,68.23,68.58,68.79,68.97,69.34,69.7,70.1,13.54,13.55,13.56,13.57,13.62,13.67,13.68,13.93,14.19,14.2,6.89,7.0,7.21,7.5,7.86,7.87,7.88,8.16,8.41,8.42,10260,10455.0,10579.0,10919.0,11158.0,10998.0,11050.0,11159.0,11432.0,11756.0,68.04,68.44,68.9,69.71,70.59,70.61,70.76,71.63,72.61,73.1
Agam,71.3,71.44,71.57,71.83,72.17,72.37,72.53,72.89,73.23,73.47,13.59,13.73,13.94,13.85,13.86,13.87,13.88,13.88,13.89,14.16,8.17,8.18,8.39,8.69,8.85,8.96,8.97,8.98,9.22,9.23,8859,9111.0,9388.0,9489.0,9780.0,9651.0,9662.0,10171.0,10402.0,10686.0,69.84,70.36,71.1,71.7,72.37,72.46,72.57,73.29,73.98,74.66
Lima Puluh Kota,69.23,69.27,69.31,69.47,69.7,69.79,69.84,70.08,70.3,70.46,12.76,13.25,13.26,13.27,13.28,13.29,13.3,13.4,13.41,13.42,7.91,7.92,7.96,7.97,7.98,7.99,8.07,8.08,8.12,8.13,8774,8936.0,9151.0,9500.0,9842.0,9596.0,9668.0,10035.0,10285.0,10648.0,67.65,68.37,68.69,69.17,69.67,69.47,69.68,70.28,70.7,71.14
Pasaman,66.26,66.4,66.54,66.82,67.18,67.4,67.59,67.96,68.29,68.61,12.7,12.71,12.72,12.78,12.79,12.8,12.81,13.05,13.25,13.52,7.63,7.64,7.65,7.66,7.86,8.09,8.1,8.11,8.13,8.14,7340,7678.0,7882.0,8238.0,8599.0,8425.0,8440.0,8619.0,8908.0,9194.0,64.01,64.57,64.94,65.6,66.46,66.64,66.77,67.41,68.13,68.89
Solok Selatan,66.64,66.78,66.92,67.21,67.58,67.81,68.01,68.38,68.71,68.99,12.37,12.51,12.68,12.69,12.7,12.71,12.72,12.73,12.8,13.07,7.98,7.99,8.0,8.15,8.16,8.28,8.32,8.41,8.69,8.85,9653,9802.0,9891.0,10199.0,10505.0,10325.0,10367.0,10560.0,10884.0,11240.0,67.09,67.47,67.81,68.45,68.94,69.04,69.23,69.71,70.58,71.5
