,Kabupaten/Kota,Umur Harapan Hidup (Tahun),Harapan Lama Sekolah (Tahun),Rata-rata Lama Sekolah (Tahun),Pengeluaran (Ribu rupiah/orang/tahun),IPM,Tahun
0,Kepulauan Mentawai,64.05,11.48,6.27,5684.0,57.41,2015
1,Kepulauan Mentawai,64.36,11.74,6.52,5771.0,58.27,2016
2,Kepulauan Mentawai,64.37,12.07,6.69,6010.0,59.25,2017
3,Kepulauan Mentawai,64.49,12.39,6.95,6211.0,60.28,2018
4,Kepulauan Mentawai,64.68,12.76,7.08,6429.0,61.26,2019
5,Kepulauan Mentawai,70.73,12.82,7.09,6281.0,63.71,2020
6,Kepulauan Mentawai,70.73,12.89,7.2,6321.0,63.98,2021
7,Kepulauan Mentawai,70.91,12.89,7.48,6567.0,64.83,2022
8,Kepulauan Mentawai,71.06,12.9,7.76,6891.0,65.79,2023
9,Kepulauan Mentawai,71.21,12.91,8.03,7192.0,66.67,2024
10,Kepulauan Mentawai,71.4,13.17,8.21,7451.0,67.62,2025
11,Pesisir Selatan,69.96,13.04,8.11,8412.0,68.07,2015
12,Pesisir Selatan,70.11,13.05,8.12,8605.0,68.39,2016
13,Pesisir Selatan,70.23,13.06,8.13,8819.0,68.74,2017
14,Pesisir Selatan,70.45,13.3,8.14,9089.0,69.4,2018
15,Pesisir Selatan,70.73,13.31,8.25,9444.0,70.08,2019
16,Pesisir Selatan,73.02,13.32,8.26,9212.0,70.87,2020
17,Pesisir Selatan,73.12,13.33,8.27,9270.0,71.01,2021
18,Pesisir Selatan,73.2,13.35,8.43,9686.0,71.72,2022
19,Pesisir Selatan,73.27,13.36,8.58,9953.0,72.24,2023
20,Pesisir Selatan,73.44,13.37,8.81,10211.0,72.87,2024
21,Pesisir Selatan,73.68,13.38,9.06,10633.0,73.72,2025
22,Sijunjung,65.22,11.94,7.33,9796.0,65.3,2015
23,Sijunjung,65.33,12.27,7.5,9895.0,66.01,2016
24,Sijunjung,65.44,12.34,7.72,10093.0,66.6,2017
25,Sijunjung,65.69,12.35,7.77,10277.0,66.97,2018
26,Sijunjung,66.02,12.36,8.1,10395.0,67.66,2019
27,Sijunjung,71.78,12.37,8.11,10361.0,70.36,2020
28,Sijunjung,71.93,12.38,8.12,10389.0,70.48,2021
29,Sijunjung,72.27,12.64,8.3,10582.0,71.32,2022
30,Sijunjung,72.59,12.72,8.57,11018.0,72.3,2023
31,Sijunjung,72.89,12.76,8.62,11395.0,72.88,2024
32,Sijunjung,73.3,12.99,8.66,11829.0,73.73,2025
33,Tanah Datar,68.75,13.35,7.93,10103.0,69.49,2015
34,Tanah Datar,68.93,13.46,8.12,10296.0,70.11,2016
35,Tanah Datar,69.11,13.59,8.14,10331.0,70.37,2017
36,Tanah Datar,69.38,13.88,8.44,10417.0,71.25,2018
37,Tanah Datar,69.73,14.32,8.45,10709.0,72.14,2019
38,Tanah Datar,73.5,14.33,8.61,10588.0,74.01,2020
39,Tanah Datar,73.69,14.34,8.62,10616.0,74.14,2021
40,Tanah Datar,73.84,14.59,8.9,10695.0,74.87,2022
41,Tanah Datar,74.19,14.78,9.02,10905.0,75.57,2023
42,Tanah Datar,74.26,15.05,9.29,11223.0,76.49,2024
43,Tanah Datar,74.35,15.06,9.46,11552.0,77.04,2025
44,Padang Pariaman,67.64,13.54,6.89,10260.0,68.04,2015
45,Padang Pariaman,67.8,13.55,7.0,10455.0,68.44,2016
46,Padang Pariaman,67.96,13.56,7.21,10579.0,68.9,2017
47,Padang Pariaman,68.23,13.57,7.5,10919.0,69.71,2018
48,Padang Pariaman,68.58,13.62,7.86,11158.0,70.59,2019
49,Padang Pariaman,73.48,13.67,7.87,10998.0,72.8,2020
50,Padang Pariaman,73.58,13.68,7.88,11050.0,72.92,2021
51,Padang Pariaman,73.67,13.93,8.16,11159.0,73.67,2022
52,Padang Pariaman,73.77,14.19,8.41,11432.0,74.54,2023
53,Padang Pariaman,73.88,14.2,8.42,11756.0,74.9,2024
54,Padang Pariaman,74.04,14.21,8.78,12089.0,75.71,2025
55,Agam,71.3,13.59,8.17,8859.0,69.84,2015
56,Agam,71.44,13.73,8.18,9111.0,70.36,2016
